100 4931
1 2 2
1 5 4
1 6 4
1 9 5
1 10 2
1 13 3
1 14 2
1 16 6
1 17 2
1 18 4
1 21 3
1 22 1
1 29 4
1 30 5
1 31 6
1 32 1
1 37 2
1 41 6
1 43 6
1 44 3
1 51 1
1 52 6
1 53 3
1 56 6
1 57 6
1 58 5
1 59 4
1 60 5
1 62 6
1 63 2
1 64 3
1 65 3
1 66 5
1 67 4
1 68 5
1 69 4
1 72 5
1 74 1
1 75 4
1 79 2
1 83 6
1 85 4
1 88 4
1 90 6
1 91 2
1 92 3
1 94 5
1 95 6
1 96 6
1 97 6
1 98 3
1 99 1
1 100 4
2 1 6
2 3 5
2 4 1
2 7 2
2 8 5
2 9 4
2 11 3
2 12 4
2 15 6
2 16 1
2 17 4
2 19 1
2 20 3
2 27 6
2 28 5
2 34 5
2 35 5
2 39 4
2 40 6
2 42 2
2 43 2
2 44 5
2 45 2
2 46 1
2 47 2
2 52 5
2 53 5
2 55 2
2 60 4
2 62 5
2 64 3
2 66 5
2 67 3
2 68 4
2 69 3
2 72 6
2 73 5
2 76 5
2 77 6
2 81 1
2 84 4
2 85 6
2 88 5
2 91 2
2 94 5
2 96 5
2 98 2
3 2 4
3 3 1
3 4 4
3 6 3
3 9 5
3 10 5
3 13 2
3 14 5
3 15 4
3 16 4
3 19 3
3 21 4
3 25 3
3 29 1
3 30 5
3 31 5
3 33 5
3 36 5
3 38 3
3 41 4
3 43 5
3 45 1
3 50 2
3 52 6
3 54 2
3 55 5
3 59 5
3 62 2
3 64 1
3 65 5
3 66 3
3 67 1
3 69 6
3 70 1
3 72 1
3 77 1
3 80 4
3 81 1
3 85 3
3 86 2
3 88 3
3 90 1
3 92 5
3 95 2
3 99 3
3 100 3
4 1 1
4 3 2
4 4 2
4 5 3
4 6 5
4 7 2
4 14 6
4 16 3
4 20 6
4 21 6
4 23 3
4 30 4
4 32 6
4 34 3
4 35 4
4 37 4
4 39 1
4 40 1
4 41 3
4 42 4
4 44 3
4 45 4
4 46 2
4 48 3
4 51 1
4 52 3
4 53 6
4 55 5
4 57 2
4 59 5
4 61 4
4 64 1
4 66 2
4 69 1
4 71 4
4 72 2
4 73 1
4 76 6
4 77 2
4 80 4
4 86 6
4 87 5
4 88 6
4 89 4
4 90 5
4 92 2
4 93 6
4 97 6
4 98 5
4 99 4
5 2 2
5 7 5
5 8 6
5 10 1
5 11 4
5 13 6
5 14 5
5 18 3
5 19 6
5 21 6
5 23 4
5 25 1
5 26 6
5 28 3
5 30 2
5 33 2
5 34 1
5 35 3
5 39 1
5 42 1
5 44 3
5 45 3
5 46 6
5 47 2
5 49 4
5 54 5
5 56 3
5 59 2
5 60 1
5 63 5
5 66 1
5 67 5
5 69 2
5 70 5
5 71 4
5 72 2
5 82 6
5 84 5
5 86 5
5 91 1
5 92 4
5 94 2
5 95 3
5 97 1
6 1 2
6 4 5
6 7 6
6 10 4
6 12 5
6 16 2
6 17 4
6 18 1
6 19 6
6 21 4
6 22 3
6 23 5
6 24 4
6 26 1
6 27 3
6 28 5
6 31 4
6 35 3
6 41 1
6 47 2
6 51 2
6 52 3
6 53 5
6 55 2
6 56 3
6 57 4
6 59 2
6 60 3
6 61 6
6 62 1
6 64 4
6 65 5
6 66 3
6 67 6
6 68 5
6 69 4
6 74 5
6 75 2
6 80 1
6 81 6
6 85 1
6 88 1
6 89 2
6 91 2
6 96 2
6 98 5
6 99 2
6 100 3
7 2 3
7 3 5
7 4 5
7 5 3
7 7 3
7 11 3
7 14 3
7 15 1
7 17 3
7 18 2
7 19 5
7 21 6
7 24 4
7 25 2
7 28 5
7 29 5
7 30 1
7 31 3
7 33 1
7 35 4
7 38 1
7 41 4
7 42 2
7 43 2
7 44 3
7 45 1
7 48 5
7 53 5
7 55 4
7 56 1
7 59 5
7 60 5
7 61 2
7 63 5
7 64 1
7 65 3
7 67 3
7 69 3
7 70 5
7 73 5
7 74 1
7 75 4
7 76 3
7 78 1
7 79 1
7 80 3
7 81 1
7 82 5
7 83 6
7 84 1
7 85 1
7 86 4
7 87 1
7 92 1
7 93 2
7 96 2
7 97 5
7 98 4
7 100 2
8 1 1
8 3 4
8 8 2
8 11 6
8 12 2
8 13 2
8 14 6
8 15 1
8 16 4
8 17 4
8 18 5
8 19 3
8 21 5
8 25 3
8 28 6
8 29 4
8 30 3
8 33 1
8 34 2
8 35 6
8 39 3
8 42 1
8 43 1
8 45 1
8 46 3
8 48 6
8 56 5
8 57 3
8 60 4
8 63 4
8 65 3
8 66 4
8 67 1
8 70 1
8 72 3
8 73 5
8 76 4
8 77 1
8 78 3
8 80 2
8 81 5
8 84 5
8 85 6
8 87 4
8 89 6
8 90 3
8 91 3
8 94 2
8 97 5
9 4 2
9 6 3
9 7 2
9 11 2
9 14 3
9 15 1
9 17 3
9 21 1
9 22 4
9 23 1
9 24 6
9 25 5
9 26 6
9 27 3
9 28 2
9 30 4
9 33 3
9 34 1
9 36 3
9 37 2
9 39 3
9 40 5
9 41 3
9 44 2
9 45 3
9 48 1
9 49 5
9 50 5
9 51 5
9 54 5
9 56 1
9 57 2
9 58 2
9 59 1
9 62 2
9 63 4
9 65 1
9 66 3
9 67 5
9 69 1
9 71 6
9 75 1
9 76 1
9 78 6
9 80 1
9 81 3
9 88 3
9 90 4
9 92 4
9 93 2
9 94 1
9 95 5
9 96 3
9 97 1
9 98 5
9 100 6
10 1 2
10 3 2
10 4 2
10 6 2
10 9 3
10 10 3
10 12 1
10 15 6
10 19 5
10 20 5
10 21 3
10 22 2
10 23 2
10 26 2
10 27 5
10 28 6
10 29 1
10 31 3
10 32 5
10 33 6
10 35 5
10 36 6
10 38 6
10 44 2
10 45 2
10 50 3
10 54 4
10 56 5
10 57 2
10 58 1
10 59 6
10 61 6
10 62 2
10 65 3
10 66 1
10 68 6
10 71 4
10 73 4
10 76 5
10 77 3
10 78 5
10 79 4
10 81 5
10 82 4
10 83 1
10 84 4
10 85 3
10 86 2
10 87 3
10 88 4
10 90 1
10 91 6
10 95 4
10 96 5
10 98 1
10 100 1
11 7 6
11 9 3
11 11 5
11 12 2
11 14 5
11 15 2
11 16 2
11 17 3
11 19 3
11 23 4
11 25 5
11 30 4
11 31 2
11 33 5
11 34 1
11 36 2
11 40 4
11 43 1
11 44 2
11 45 5
11 46 3
11 47 5
11 48 6
11 49 4
11 52 6
11 55 6
11 56 6
11 57 2
11 58 2
11 61 3
11 63 4
11 66 6
11 67 4
11 68 2
11 69 6
11 70 4
11 71 3
11 72 5
11 75 5
11 76 6
11 78 6
11 80 3
11 81 6
11 82 2
11 84 1
11 85 1
11 89 5
11 90 6
11 91 3
11 92 2
11 93 5
11 95 2
11 99 3
12 1 3
12 5 6
12 8 3
12 9 5
12 10 3
12 11 2
12 12 6
12 16 6
12 17 6
12 19 4
12 21 5
12 22 1
12 24 1
12 27 5
12 29 5
12 32 5
12 34 4
12 35 2
12 37 2
12 38 3
12 39 4
12 40 2
12 41 5
12 43 6
12 44 1
12 45 4
12 46 6
12 48 4
12 49 6
12 52 6
12 53 3
12 55 4
12 56 5
12 62 2
12 63 5
12 66 6
12 67 1
12 68 5
12 70 1
12 71 3
12 73 6
12 77 1
12 79 3
12 82 6
12 83 1
12 86 2
12 87 5
12 88 6
12 89 6
12 92 6
12 93 1
12 95 4
12 96 2
12 100 4
13 2 4
13 3 4
13 4 2
13 5 3
13 6 4
13 7 2
13 10 5
13 14 4
13 15 2
13 16 1
13 17 4
13 18 5
13 19 5
13 20 4
13 21 1
13 22 6
13 23 3
13 26 3
13 28 2
13 29 4
13 30 6
13 34 5
13 35 1
13 38 2
13 48 5
13 50 4
13 52 5
13 53 1
13 54 1
13 56 6
13 60 5
13 66 2
13 68 3
13 71 2
13 72 2
13 74 3
13 75 2
13 76 5
13 79 2
13 81 3
13 85 3
13 86 5
13 87 3
13 92 6
13 94 4
13 97 2
13 99 5
14 1 3
14 7 4
14 9 4
14 10 1
14 11 2
14 13 5
14 15 4
14 16 2
14 17 3
14 18 1
14 20 1
14 22 1
14 24 5
14 26 6
14 28 1
14 30 5
14 31 3
14 34 6
14 37 6
14 38 6
14 39 2
14 40 1
14 44 5
14 47 3
14 48 5
14 50 3
14 52 4
14 53 5
14 55 6
14 56 3
14 57 5
14 58 3
14 59 1
14 61 1
14 62 4
14 65 6
14 68 4
14 69 3
14 71 3
14 72 5
14 73 4
14 77 3
14 80 6
14 83 6
14 93 5
14 94 4
14 96 1
14 97 6
14 99 4
15 2 4
15 4 2
15 5 5
15 6 1
15 7 3
15 12 6
15 15 5
15 16 6
15 19 6
15 20 6
15 24 5
15 25 2
15 27 4
15 32 5
15 36 5
15 41 4
15 42 6
15 43 6
15 44 3
15 48 6
15 49 2
15 53 4
15 55 5
15 56 6
15 61 5
15 62 2
15 64 3
15 67 5
15 68 1
15 71 6
15 73 4
15 75 5
15 77 4
15 80 4
15 82 3
15 83 5
15 88 5
15 92 6
15 94 6
15 95 6
15 96 1
15 97 4
15 98 6
15 99 2
16 1 6
16 4 6
16 5 3
16 6 6
16 8 1
16 11 4
16 13 6
16 14 6
16 16 2
16 17 6
16 19 4
16 20 3
16 25 2
16 26 1
16 27 5
16 33 1
16 35 3
16 37 3
16 40 6
16 42 4
16 43 6
16 44 5
16 45 3
16 48 2
16 49 4
16 53 3
16 55 4
16 58 2
16 59 4
16 62 5
16 64 1
16 65 3
16 67 5
16 68 1
16 70 6
16 71 5
16 72 4
16 73 1
16 79 3
16 80 1
16 82 6
16 83 4
16 86 1
16 88 2
16 92 5
16 94 6
16 96 2
16 97 6
16 100 1
17 2 4
17 3 6
17 5 6
17 6 3
17 7 5
17 8 3
17 12 2
17 13 5
17 14 2
17 15 2
17 19 3
17 20 3
17 22 1
17 24 1
17 25 6
17 26 5
17 27 6
17 28 3
17 30 4
17 31 5
17 32 5
17 33 6
17 34 1
17 35 2
17 38 3
17 40 6
17 41 6
17 44 6
17 46 5
17 47 3
17 48 3
17 52 5
17 53 6
17 56 2
17 57 4
17 58 5
17 59 4
17 60 2
17 62 4
17 63 3
17 64 5
17 65 3
17 69 6
17 70 2
17 71 3
17 73 5
17 75 6
17 80 2
17 82 6
17 86 1
17 88 5
17 91 4
17 92 3
17 93 4
17 96 2
17 98 3
17 99 2
18 4 1
18 6 6
18 7 6
18 8 2
18 10 5
18 11 4
18 13 5
18 14 6
18 15 2
18 18 5
18 21 3
18 22 4
18 23 5
18 26 2
18 27 2
18 28 2
18 29 6
18 30 4
18 31 3
18 32 3
18 34 4
18 40 2
18 41 1
18 42 6
18 45 2
18 46 6
18 47 6
18 48 3
18 49 1
18 51 1
18 52 2
18 53 4
18 55 3
18 56 4
18 62 1
18 63 2
18 64 1
18 65 1
18 66 5
18 68 1
18 72 2
18 73 6
18 76 1
18 77 4
18 80 6
18 81 5
18 82 6
18 83 5
18 86 4
18 87 3
18 90 6
18 93 3
18 94 1
18 96 5
19 6 6
19 7 2
19 9 1
19 10 2
19 11 4
19 12 2
19 15 4
19 18 4
19 19 4
19 20 2
19 21 2
19 23 2
19 24 3
19 25 4
19 27 5
19 28 5
19 29 4
19 30 2
19 31 4
19 38 6
19 39 3
19 41 3
19 42 4
19 45 5
19 47 1
19 48 2
19 51 1
19 52 1
19 55 1
19 60 1
19 61 4
19 63 3
19 64 4
19 66 5
19 71 3
19 75 2
19 77 4
19 79 2
19 81 6
19 83 2
19 90 1
19 91 1
19 94 4
19 95 2
19 96 6
19 98 5
19 99 1
20 1 5
20 5 4
20 6 3
20 10 2
20 11 1
20 12 4
20 15 6
20 16 3
20 22 1
20 26 1
20 27 5
20 33 1
20 35 5
20 36 2
20 37 1
20 40 3
20 42 1
20 43 4
20 44 1
20 45 2
20 46 1
20 48 4
20 49 6
20 51 2
20 52 6
20 55 3
20 56 6
20 58 2
20 59 6
20 62 4
20 65 4
20 66 3
20 72 6
20 73 3
20 78 3
20 80 6
20 81 6
20 82 2
20 88 2
20 90 1
20 91 5
20 92 5
20 96 2
20 100 3
21 2 4
21 3 5
21 4 6
21 8 5
21 11 6
21 13 5
21 14 1
21 18 3
21 24 5
21 25 4
21 27 5
21 36 2
21 37 6
21 38 5
21 39 4
21 41 6
21 42 1
21 43 6
21 44 3
21 46 6
21 47 5
21 50 6
21 52 1
21 53 3
21 54 2
21 56 1
21 57 2
21 58 1
21 59 2
21 61 4
21 62 1
21 65 1
21 66 6
21 68 1
21 74 5
21 75 4
